지역,구분,2009,2010,2011,2012,2013,2014,2015,2016,2017
지역,평균,-116.14,-255.61,-251.24,-230.84,-223.94,-195.61,-305.01,-311.68,-218.86
연남동,총전입-전출,-220,-466,-375,-284,-101,-555,-715,-636,-797
연남동,구내전입-전출,-147,-210,-116,-9,91,-175,-131,-93,-180
연남동,구간전입-전출,-28,-56,-143,-234,-56,-264,-460,-613,-541
연남동,시/도간전입-전출,-45,-200,-116,-41,-136,-116,-124,70,-76
지역,평균,-116.14,-255.61,-251.24,-230.84,-223.94,-195.61,-305.01,-311.68,-218.86
종로1.2.3.4가동,총전입-전출,-2,-61,-41,55,-70,59,-50,-152,-84
종로1.2.3.4가동,구내전입-전출,-19,17,-39,-51,-35,-34,-103,-122,-128
종로1.2.3.4가동,구간전입-전출,-66,-125,-53,-47,-87,-188,-139,-118,-113
종로1.2.3.4가동,시/도간전입-전출,83,47,51,153,52,281,192,88,157
지역,평균,-116.14,-255.61,-251.24,-230.84,-223.94,-195.61,-305.01,-311.68,-218.86
종로5·6가동,총전입-전출,-185,-150,-142,-17,-177,-162,-13,-217,-104
종로5·6가동,구내전입-전출,-65,-56,-14,21,-55,-57,-97,-118,-45
종로5·6가동,구간전입-전출,-89,-107,-160,-64,-145,-133,-82,-151,-153
종로5·6가동,시/도간전입-전출,-31,13,32,26,23,28,166,52,94
지역,평균,-116.14,-255.61,-251.24,-230.84,-223.94,-195.61,-305.01,-311.68,-218.86
성수1가2동,총전입-전출,-529,-465,-451,-310,-526,-596,-754,-590,-617
성수1가2동,구내전입-전출,-28,-4,-5,-27,44,-94,-228,-160,-229
성수1가2동,구간전입-전출,-303,-298,-370,-95,-321,-241,-280,-181,-285
성수1가2동,시/도간전입-전출,-198,-163,-76,-188,-249,-261,-246,-249,-103
지역,평균,-116.14,-255.61,-251.24,-230.84,-223.94,-195.61,-305.01,-311.68,-218.86
낙성대동,총전입-전출,-362,-117,-188,-137,-153,-269,-235,-179,-377
낙성대동,구내전입-전출,-160,-107,-225,-213,-256,-155,-216,-242,-457
낙성대동,구간전입-전출,-510,-155,-235,-311,-208,-376,-186,-275,-333
낙성대동,시/도간전입-전출,308,145,272,387,311,262,167,338,413
지역,평균,-116.14,-255.61,-251.24,-230.84,-223.94,-195.61,-305.01,-311.68,-218.86
망원1동,총전입-전출,-288,-362,-475,-422,-411,-952,-938,-539,-494
망원1동,구내전입-전출,121,-81,52,160,233,-293,-97,126,38
망원1동,구간전입-전출,-144,35,-168,-203,-172,-392,-424,-395,-291
망원1동,구간전입-전출,-144,35,-168,-203,-172,-392,-424,-395,-291
망원1동,시/도간전입-전출,-265,-316,-359,-379,-472,-267,-417,-270,-241
지역,평균,-116.14,-255.61,-251.24,-230.84,-223.94,-195.61,-305.01,-311.68,-218.86
망원2동,총전입-전출,301,-552,-317,-504,-409,-147,-414,-410,-528
망원2동,구내전입-전출,387,60,202,215,145,329,270,302,30
망원2동,구간전입-전출,22,-167,-160,-295,-197,-154,-358,-388,-240
망원2동,시/도간전입-전출,-108,-445,-359,-424,-357,-322,-326,-324,-318
지역,평균,-116.14,-255.61,-251.24,-230.84,-223.94,-195.61,-305.01,-311.68,-218.86
사직동,총전입-전출,64,-220,-100,-168,-207,-146,-132,-65,-260
사직동,구내전입-전출,46,-12,-20,-2,46,17,-70,-11,-202
사직동,구간전입-전출,-73,-192,-86,-73,-162,-170,-63,-60,-94
사직동,시/도간전입-전출,91,-16,6,-93,-91,7,1,6,36
